state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_bed_occupied_coverage,all_pediatric_inpatient_beds,all_pediatric_inpatient_beds_coverage,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_0_4_coverage,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_pediatric_covid_confirmed_12_17_coverage, previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_5_11_coverage,previous_day_admission_pediatric_covid_confirmed_unknown,previous_day_admission_pediatric_covid_confirmed_unknown_coverage,staffed_icu_pediatric_patients_confirmed_covid,staffed_icu_pediatric_patients_confirmed_covid_coverage,staffed_pediatric_icu_bed_occupancy,staffed_pediatric_icu_bed_occupancy_coverage,total_staffed_pediatric_icu_beds,total_staffed_pediatric_icu_beds_coverage,Demo | State Geographic Boundaries
VI,1,0,1,2,0,0,0,2,168,2,115,2,0,2,0,2,0,2,0,2,0,2,10,2,0,2,0,2,0,2,0,2,0,2,0,2,14,2,0.68452380952381,2,115,168,0,2,0,115,0,2,0,168,0,2,0,14,0.714285714285714,2,10,14,2023/03/04,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,,,,,,,0,2,0,2,0,1,0,1,0,0,1,2,8,2,16,2,0,2,0,1,0,1,0,2,0,2,0,2,3,2,
AK,1,6,14,1,18,2,0,21,1640,21,1284,21,38,21,4,21,0,21,0,21,0,21,125,21,7,21,7,21,36,21,34,21,2,21,2,21,154,21,0.782926829268293,21,1284,1640,0.029595015576324,21,38,1284,0.023170731707317,21,38,1640,0.045454545454545,21,7,154,0.811688311688312,21,125,154,2023/03/04,,0,21,0,20,0,20,3,20,0,20,1,20,0,20,0,20,0,21,0,21,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,21,0,8,39,0,0,0,0,0,0,21,0,21,0,8,0,8,3,0,8,21,55,21,94,21,0,21,0,20,0,20,0,21,2,21,6,21,10,21,
CO,0,24,67,3,67,21,6,91,10160,91,6745,91,226,91,53,91,27,91,3,91,12,91,733,91,26,91,23,91,212,91,163,91,14,91,13,91,1205,91,0.663877952755906,91,6745,10160,0.033506300963677,91,226,6745,0.022244094488189,91,226,10160,0.021576763485477,91,26,1205,0.608298755186722,91,733,1205,2023/03/04,,0,91,1,85,5,85,1,85,6,85,9,85,15,85,15,85,1,91,0,91,1,85,3,85,1,85,2,85,1,85,10,85,5,85,5,91,0,35,222,853,95,0,0,0,0,91,0,91,0,33,0,33,9,0,33,91,489,91,708,91,2,91,1,85,0,85,0,91,0,91,71,91,101,91,
GA,3,25,106,9,83,42,16,134,19920,134,15312,134,867,134,77,134,110,134,4,134,45,134,2037,134,127,134,87,134,801,134,451,134,66,134,16,134,2502,134,0.768674698795181,134,15312,19920,0.056622257053292,134,867,15312,0.043524096385542,134,867,19920,0.050759392486011,134,127,2502,0.814148681055156,134,2037,2502,2023/03/04,,0,133,0,127,2,127,12,127,7,127,18,126,22,127,15,127,1,134,1,134,8,127,9,127,9,127,12,127,32,127,23,127,15,127,1,134,0,38,338,60,130,0,0,0,67,134,8,134,0,51,0,51,92,1,51,134,865,134,1343,134,2,133,2,127,0,127,0,134,7,134,285,134,397,134,
SD,1,2,55,2,48,8,15,58,2025,58,1310,58,68,58,12,58,0,58,0,58,0,58,118,58,4,58,4,58,66,58,64,58,2,58,1,58,212,58,0.646913580246914,58,1310,2025,0.051908396946565,58,68,1310,0.03358024691358,58,68,2025,0.018867924528302,58,4,212,0.556603773584906,58,118,212,2023/03/04,,0,57,0,44,1,44,0,44,1,44,3,44,1,45,5,44,1,58,0,58,0,44,0,44,0,44,0,44,0,44,0,43,0,44,0,58,0,3,157,0,66,0,0,0,1,58,1,58,0,2,0,2,9,0,2,58,61,58,106,58,0,57,0,44,0,44,0,58,0,58,4,58,10,58,
MO,2,22,76,12,57,31,17,100,11903,100,9970,100,519,100,63,100,90,100,0,100,11,100,1000,100,57,100,47,100,500,100,397,100,19,100,11,100,1242,100,0.837603965386877,100,9970,11903,0.052056168505517,100,519,9970,0.043602453163068,100,519,11903,0.045893719806763,100,57,1242,0.805152979066023,100,1000,1242,2023/03/04,,0,98,3,92,3,92,3,92,7,93,13,92,8,92,26,93,0,100,0,100,2,92,7,92,9,92,9,92,24,92,22,92,17,92,1,100,2,36,80,0,0,0,0,0,0,100,1,100,0,34,1,34,7,6,34,100,715,100,840,100,0,100,0,92,0,92,0,100,2,100,172,100,204,100,
OR,0,15,37,4,36,12,17,52,6262,52,5036,52,318,52,30,52,58,52,1,52,7,52,484,52,26,52,13,52,304,52,220,52,14,52,4,52,604,52,0.804215905461514,52,5036,6262,0.063145353455123,52,318,5036,0.050782497604599,52,318,6262,0.043046357615894,52,26,604,0.801324503311258,52,484,604,2023/03/04,,0,52,2,49,1,50,1,49,2,49,3,48,11,49,10,49,0,49,0,52,1,49,4,49,8,49,5,49,13,49,13,49,14,49,0,49,2,30,1107,0,127,0,0,0,2,52,0,52,0,29,0,29,9,0,29,52,253,52,361,52,0,52,1,49,0,49,0,49,1,52,14,52,31,52,
MS,5,23,68,15,73,8,3,96,7109,96,4585,96,155,96,10,96,19,96,0,96,4,96,508,96,28,96,21,96,143,96,116,96,12,96,0,96,632,96,0.644957096638064,96,4585,7109,0.033805888767721,96,155,4585,0.021803347868899,96,155,7109,0.044303797468354,96,28,632,0.80379746835443,96,508,632,2023/03/04,,0,95,0,85,0,84,1,84,1,84,2,85,4,83,2,85,0,96,0,95,3,84,0,83,1,83,7,84,4,84,2,84,2,84,0,96,0,33,24,30,41,147,0,14,3,96,0,96,0,30,0,30,22,0,30,96,155,96,315,96,0,96,0,84,0,83,0,95,0,96,41,96,66,96,
WY,0,1,24,2,18,5,0,25,1246,25,505,25,22,25,6,25,3,25,0,25,1,25,43,25,2,25,1,25,22,25,15,25,0,25,0,25,109,25,0.40529695024077,25,505,1246,0.043564356435644,25,22,505,0.017656500802568,25,22,1246,0.018348623853211,25,2,109,0.394495412844037,25,43,109,2023/03/04,,0,25,0,25,0,25,1,25,0,25,2,25,1,25,2,25,0,25,0,25,0,25,0,25,0,25,1,25,1,25,0,25,1,25,0,25,0,19,28,,159,0,,0,0,25,0,25,0,2,0,19,0,0,2,25,4,25,25,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,
IL,2,49,115,11,122,33,18,166,26895,166,19179,166,936,166,157,166,184,166,3,166,30,166,1859,166,110,166,88,166,899,166,796,166,37,166,19,166,2983,166,0.713106525376464,166,19179,26895,0.048803378695448,166,936,19179,0.034802007808143,166,936,26895,0.03687562856185,166,110,2983,0.623198122695273,166,1859,2983,2023/03/04,,3,163,6,155,8,156,10,156,14,156,29,159,39,157,46,158,2,157,1,164,17,156,28,156,6,157,20,156,36,156,49,158,26,156,1,157,2,62,374,1114,107,9,0,0,4,166,1,166,0,47,0,47,25,1,48,166,958,166,1316,166,0,166,2,157,1,157,0,166,6,166,425,166,575,166,
